aaronita a.a.ɾoˈni.ta
acocarse a.koˈkaɾ.se
acoceador a.ko.se.aˈðoɾ
acoceamiento a.ko.seaˈmjen̪.to
acocear a.koˈseaɾ
acochambrar a.ko.t∫amˈbɾaɾ
acocharse a.koˈtʃaɾ.se
acochinar a.ko.tʃiˈnaɾ
acoclarse a.koˈklaɾ.se
acocotar a.ko.koˈtaɾ
acodadura a.ko.ðaˈðu.ɾa
acodalamiento a.ko.ða.laˈmjen̪.to
acodalar a.ko.ðaˈlaɾ
acodar a.koˈðaɾ
acoderamiento a.ko.ðe.ɾaˈmjen̪.to
acoderar a.ko.ðeˈɾaɾ
acodiciar a.ko.ðiˈsjaɾ
acogedizo a.ko.xeˈði.so
acogedor a.ko.ɣeˈðor
acoger a.koˈxeɾ
acogeta aˈko.xe.ta
acogimiento a.ko.xiˈmjen̪.to
acogollar ako.ɣoˈʝar
acogombradura a.ko.ɣom.bɾaˈðu.ɾa
acogombrar a.ko.ɣomˈbɾaɾ
acogotar a.ko.ɰoˈtaɾ
acohombrar a.ko.omˈbɾaɾ
acoitar a.kojˈtaɾ
acojinamiento a.ko.xi.naˈmjen̪.to
acojinar a.ko.xiˈnaɾ
acojonar a.ko.xoˈnaɾ
acolar a.koˈlaɾ
acolchonar a.kol.t∫oˈnaɾ
acolgar a.kolˈgaɾ
acombar a.kom ˈbaɾ
acomedirse a.ko.meˈðiɾ.se
acomendar a.ko.men̪ˈdaɾ
acometedor a.ko.me.teˈðoɾ
acometer a ko me ˈter
acometida a ko me ˈti ða
acometimiento a.ko.me.tiˈmjen̪.to
acometividad a.ko.me.ti.βiˈðað
acomodable a.ko.moˈða.βle
acomodadamente a.ko.moˈða.ðaˈmen̪.te
acomodador a.ko.mo.ðaˈðoɾ
acomodamiento a.ko.mo.ðaˈmjen̪.to
acomodaticio a.ko.mo.ðaˈti.sjo
acompasar a.kom.paˈsaɾ
acomplejamiento a.kom.ple.xaˈmjen̪.to
acomplejar aˌkom.pleˈxaɾ
acomplexionado a.kom.ple.ksjoˈna.ðo
acomunalar a.ko.mu.naˈlaɾ
acomunar a.ko.muˈnaɾ
aconchar a.koɲˈt͡ʃaɾ
acondicionado a.kon̪.di.sjoˈna.ðo
acondicionador a.kon̪.di.sjo.naˈðoɾ
acondicionamiento ˌa.kon̪.di.sjo.naˈmjen̪.to
acondicionar a.kon̪.di.sjoˈnaɾ
acondroplasia a.kon̪.doˈpla.sja
aconduchar a.kon̪.duˈt͡ʃaɾ
aconfesional a.kon̪.fe.sijˈnal
acongojadamente a.koŋ.goˈxa.ðaˈmen̪.te
acongojador a.koŋ.go.xaˈðoɾ
acongojar a.koŋ.goˈxar
aconhortar a.ko.noɾˈtaɾ
aconitina a.ko.niˈti.na
aconsejable a.kon.seˈxa.βle
aconsejador a.kon.se.xaˈðoɾ
aconsejar a.kon.seˈxaɾ
acontar a.kon̪ˈtaɾ
acontecedero a.kon.te.seˈðe.ɾo
acontecer a.kon̪.teˈseɾ
acontecimiento a.kon.te.si.ˈmjen.to
acontiado a.kon̪ˈtja.ðo
acopar a.koˈpaɾ
acopetado a.ko.peˈta.ðo
acopiador a.ko.pjaˈðor
acopiamiento a.ko.pjaˈmjen̪.to
acopiar aˈko.pjaɾ
acoplador a.ko.plaˈðoɾ
acopladura a.ko.plaˈðu.ɾa
acoplamiento a.ko.plaˈmjen̪.to
acoplar a.koˈplaɾ
acoquinamiento a.ko.ki.naˈmjen̪.to
acoquinar a.ko.kiˈnaɾ
acorar a.koˈɾaɾ
acorazamiento a.ko.ɾa.saˈmjen̪.to
acorazar a.ko.ɾaˈsaɾ
acorazonado a.ko.ɾa.soˈna.ðo
acorchamiento a.koɾ.t͡ʃaˈmjen̪.to
acorcharse a.koɾˈt͡ʃaɾ.se
acordadamente a.koɾˈða.ðaˈmen̪.te
acordamiento a.koɾ.ðaˈmjen̪.to
acordante a.koɾˈðan̪.te
acordanza a.koɾˈðan.sa
acordar a.kor.ˈdar
acorde aˈkoɾ.ðe
acordelar a.koɾ.ðeˈlaɾ
acordemente aˈkoɾ.ðeˈmen̪.te
acordeonista a.koɾ.ðeoˈnis.ta
acordonamiento a.koɾ.ðo.naˈmjen̪.to
acornar a.koɾˈnaɾ
acorneador a.koɾ.neaˈðoɾ
acornear a.koɾ.neˈaɾ
acorralamiento a.ko.ɾa.laˈmjen̪.to
acorralar a.ko.raˈlaɾ
acorredor a.ko.reˈðoɾ
acorrer a.koˈreɾ
acorrimiento a.koriˈmjen̪.to
acorrucarse a.ko.ruˈkaɾ.se
acortamiento a.koɾ.taˈmjen̪.to
acortar a.koɾˈtaɾ
acorvar a.korˈβar
acosamiento a.ko.saˈmjen̪.to
acosar a.koˈsaɾ
acosijar a.ko.siˈxaɾ
acosmismo a.kosˈmis.mo
acostamiento a.kos.taˈmjen̪.to
acostar a.kosˈtaɾ
acostumbrar a.kos.tumˈbɾaɾ
acotamiento a.ko.t̪aˈmjen̪.t̪o
acotar a.koˈtaɾ
acotolar a.ko.toˈlaɾ
acoyundar a.ko.ʝun̪ ˈdaɾ
acoyuntar a.ko.ʝun̪ ˈtaɾ
acoyuntero a.ko.ʝun̪ˈte.ɾo
acre ˈa.kɾe
acrebite aˈkɾe.βi.te
acrecencia a.kɾeˈsen̪.sja
acrecentamiento a.kɾeˈsen̪.taˈmjen̪.to
acrecer a.kɾeˈseɾ
acrecimiento a.kɾeˈsiˈmjen̪.to
acreditativo a.kɾe.ði.taˈti.βo
acreedor a.kɾe.eˈðoɾ
acreencia a.kɾeˈen.sja
acreer a.kɾeˈeɾ
acremente a.kɾeˈmen̪.te
acrianzar a.kɾi.anˈsaɾ
acribador a.kɾi.βaˈðoɾ
acribadura a.kɾi.baˈðu.ɾa
acribar a.kɾiˈβaɾ
acribillar a.kɾi.βi.ˈʎaɾ
acrilato a.kɾiˈla.to
acriminador a.kri.mi.naˈðoɾ
acriminar a.kɾi.miˈnaɾ
acrimonia a.kɾiˈmo.nja
acrisoladamente a.kɾi.soˈla.ðaˈmen̪.te
acrisolar a.kɾi.soˈlaɾ
acristalamiento a.kɾis.ta.laˈmjen̪.to
acristalar a.kris.taˈlaɾ
acristianar a.krisˈtja.naɾ
acritud a.kɾiˈtud
acrobacia a.kro.ˈβa.sja
acrobatismo a.kro.βa.ˈtiz.mo
acroe aˈkɾo.e
acrofobia a.kɾoˈfo.βja
acromado a.kɾoˈma.ðo
acromatismo a.kɾo.maˈtis.mo
acromatizar aˌkɾo.ma.tiˈsaɾ
acromegalia a.kɾo.meˈɣa.lja
acromial a.kɾo.ˈmjal
acromiano a.kɾoˈmja.no
acromio ...
acromion a.ˈkɾo.mjon
acrostolio a.kɾosˈto.ljo
acrotera a.kɾoˈte.ɾa
acroteria a.kɾoˈte.ɾja
acroterio a.kɾoˈte.ɾjo
acroy aˈkɾoj
acta ˈak.ta
actea akˈte.a
actinia akˈti.nja
actinio akˈti.njo
actinismo ak.tiˈnis.mo
actinomices ak.t̪i.no.ˈmi.ses
actinomicosis ak.t̪i.no.miˈko.sis
actinomorfo ˌak.ti.noˈmoɾ.fo
actinota ak.t̪iˈno.t̪a
actitud ak.tiˈtuð
activador ak.ti.βaˈðoɾ
activamente akˈti.βaˈmen̪.te
activar ak.tiˈβaɾ
actividad ak.ti.βiˈðað
activismo ak.tiˈβis.mo
activista ak.tiˈβis.ta
acto ˈak.to
actor açˈtoɾ
actora akˈto.ɾa
actriz akˈtɾis
actual ak'twal
actualidad ak.twa.liˈðað
actualizador ak.t̪wa.li.saˈðoɾ
actualmente akˈtwalˈmen̪.te
actuante akˈtwan̪.te
actuar ak.ˈtwaɾ
actuaria akˈtwa.ɾja
actuarial ak.twaˈɾjal
actuario akˈtwa.ɾjo
actuosidad ak.two.siˈðað
actuoso akˈtwo.so
acuache aˈkwa.tʃe
acuantiar a.kwan̪ˈtjaɾ
acuarela a.kwaˈɾe.la
acuartar a.kwaɾˈtaɾ
acuartelamiento a.kwaɾ.te.laˈmjen̪.to
acuartelar a.kwaɾ.teˈlaɾ
acuatizar a.kwa.tiˈsaɾ
acubado a.kuˈβa.ðo
acubilar a.ku.βiˈlaɾ
acucharado a.ku.tʃaˈɾa.ðo
acuciadamente a.kuˈsja.ðaˈmen̪.te
acuciador a.ku.sjaˈðoɾ
acuciamiento aˈku.sjaˈmjen̪.to
acuciante a.kuˈsjan̪.te
acuciar a.kuˈsjaɾ
acuciosamente a.kuˈsjo.saˈmen̪.te
acuciosidad a.ku.sjo.siˈðað
acucioso a.kuˈsjo.so
acudiciar a.ku.ðiˈsjaɾ
acudiente a.kuˈðjen̪.te
acudimiento a.ku.ðiˈmjen̪.to
acudir a.ku.ðiɾ
acueducto a.kweˈðuk.to
acuerpar a.kweɾˈpaɾ
acuicultura a.kwi.kulˈtu.ɾa
acuidad a.kwiˈðað
acuitadamente a.kwiˈta.ðaˈmen.te
acuitamiento a.kwi.taˈmjen̪.to
acuitar a.kwjˈtaɾ
aculado a.kuˈla.ðo
acular a.kuˈlaɾ
aculatar a.ku.laˈtaɾ
aculebrinado a.ku.le.βɾiˈna.ðo
acullicar a.ku.ʝiˈkaɾ
acumen aˈku.men
acuminado a.ku.mi.ˈna.ðo
acuminoso a.ku.mi.ˈno.so
acumulable a.ku.muˈla.βle
acumulador a.ku.mu.laˈðoɾ
acumulamiento a.ku.mu.laˈmjen̪.to
acumular a.ku.muˈlaɾ
acumulativo a.ku.mu.laˈti.βo
acunar a.kuˈnaɾ
acuntir a.kun̪ˈtiɾ
acuosidad a.kwo.siˈðað
acuoso aˈkwo.so
acupuntor a.ku.pun̪ˈtoɾ
acuradamente a.kuˈɾa.ðaˈmen̪.te
acurado a.kuˈɾa.ðo
acurdarse a.kuɾˈðaɾ.se
acure aˈku.ɾe
acurrucarse a.ku.ruˈkaɾ.se
acusable a.kuˈsa.βle
acusador a.ku.saˈðoɾ
acusar a.kuˈsaɾ
acusativo a.ku.saˈti.βo
acusatorio a.ku.saˈto.ɾjo
acuseta a.kuˈse.ta
acusete a.kuˈse.te
acusica a.kuˈsi.ka
acusique a.kuˈsi.ke
adafina a.ðaˈfi.na
adagial a.ðaˈxjal
adahala a.ðaˈa.la
adala aˈða.la
adalid a.ðaˈlið
adamadura a.ða.maˈðu.ɾa
adamamiento a.ða.maˈmjen̪.to
adamante a.ðaˈman̪.te
adamantino a.ða.man̪ˈti.no
adamismo a.ðaˈmis.mo
adamita a.ðaˈmi.ta
adanida a.ðaˈni.ða
adanismo a.ðaˈnis.mo
adaptable a.ðapˈta.βle
adaptador aðaptaðoɾ
adaptar a.ðapˈtaɾ
adaraja a.ðaˈɾa.xa
adarce aˈðaɾ.se
adarga aˈðaɾ.ga
adarguero a.ðaɾˈɣe.ɾo
adarme aˈðar.me
adaza aˈða.sa
adecuar a.ðeˈkwaɾ
adefera a.ðeˈfe.ɾa
adefesio a.ðe.ˈfe.sjo
adefina a.ðeˈfi.na
adefuera a.ðeˈfwe.ɾa
adelantadamente a.ðe.lanˈta.ðaˈmen.te
adelantador a.ðe.lan.taˈðoɾ
adelantamiento a.ðe.lan.taˈmjen.to
adelantar a.ðe.lan̪ˈtaɾ
adelfa aˈðel.fa
adelfal aˈðel.fal
adelgazador a.ðel.ɣa.saˈðoɾ
adelgazante a.ðel.ɣaˈsan̪.te
adelgazar a.ðel.ga.ˈsaɾ
ademador a.ðe.maˈðoɾ
ademar a.ðeˈmaɾ
adempribio a.ðemˈpɾi.βio
ademprio aˈðem.pɾjo
adenda aˈðen̪.d̪a
adenia aˈðe.nja
adenitis a.ðeˈni.tis
adenoideo a.ðe.nojˈðe.o
adenoides a.ðeˈnoj.ðes
adenoma a.ðeˈno.ma
adenoso a.ðeˈno.so
adentrarse a.ðen̪ˈtɾaɾ.se
aderra aˈðe.ra
aderredor a.ðe.reˈðoɾ
adestrador a.ðes.tɾaˈðoɾ
adestrar a.ðesˈtɾaɾ
adherecer a.ðe.ɾeˈseɾ
adherente a.ðeˈɾen̪.te
adherir að.eˈɾiɾ
adhesivo a.ðeˈsi.βo
adiafa aˈðja.fa
adiamantado a.ðja.man̪ˈta.ðo
adiano aˈðja.no
adiar aˈðjaɾ
adicionador a.ði.sjo.naˈðoɾ
adicional a.ði.sjoˈnal
adictivo a.ðikˈti.βo
adicto aˈðik.to
adieso aˈðje.so
adiestrador a.ðjes.tɾaˈðoɾ
adiestrar a.ðjesˈtɾaɾ
adinamia a.ðiˈna.mja
adinerado a.ði.ne´ɾa.ðo
adintelado a.ðin̪.teˈla.ðo
adipocira a.ði.poˈsi.ɾa
adiposis a.ðiˈpo.sis
adiposo a.ðiˈpo.so
adir aˈðiɾ
aditamento a.ði.taˈmen̪.to
aditicio a.ðiˈti.sjo
aditivo a.ðiˈti.βo
adiva aˈði.βa
adive aˈði.βe
adivinador a.ði.βi.naˈðoɾ
adivinaja a.ði.βiˈna.xa
adivinamiento a.ði.βi.naˈmjen̪.to
adivinanza a.ði.βi.nan.sa
adivinar a.ði.βiˈnaɾ
adivinatorio a.ði.βi.naˈto.ɾjo
adjetival að.xe.tiˈβal
adjetivar að.xe.tiˈβaɾ
adjudicador að.xu.ði.kaˈðoɾ
adjudicar að.xu.ðiˈkaɾ
adjudicatario að.xu.ði.kaˈta.ɾjo
adjunto aðˈxun.to
adjurable að.xuˈɾa.βle
adjurado að.xuˈɾa.ðo
adjurador að.xu.ɾaˈðoɾ
adjutor að.xuˈtoɾ
adjutorio að.xuˈto.ɾjo
administrador ad.mi.nisˈtɾa.doɾ
administrar að.mi.nisˈtɾar
administrativista að.mi.nis.tɾa.tiˈβis.ta
administratorio að.mi.nis.tɾaˈto.ɾjo
admirable að.miˈɾa.βle
admirador að.mi.ɾaˈðoɾ
admirar ad.miˈɾaɾ
admirativo að.mi.ɾaˈti.βo
admisible að.miˈsi.βle
admitancia að.miˈtan.sja
admitencia að.miˈten.sja
admitir að.miˈtiɾ
admonitor ad̪.mo.niˈtoɾ
admonitorio ad̪.mo.niˈto.ɾjo
adnado aðˈna.ðo
adnato aðˈna.to
adobador a.ðo.βaˈðoɾ
adobar a.ðoˈβaɾ
adobera a.ðoˈβe.ɾa
adocenado a.ðo.se.ˈna.ðo
adoctrinar a.ðok.tɾiˈnaɾ
adolecer a.ðo.leˈseɾ
adoleciente a.ðo.leˈsjen̪.te
adolescencia a.ðo.les.ˈsen.sja
adolescente a.ðo.leˈsen̪.te
adolorido a.ðo.loˈɾi.ðo
adonarse a.ðoˈnaɾ.se
adonde a.ˈðon.d̪e
adondequiera a.ðon̪.deˈkje.ɾa
adonecer a.ðo.neˈseɾ
adonio aˈðo.njo
adonis aˈðo.nis
adopcionismo a.ðop.sjoˈnis.mo
adopcionista a.ðop.sjoˈnis.ta
adoptable a.ðopˈta.βle
adoptador a.ðop.taˈðoɾ
adoptante a.ðopˈtan̪.te
adoptar a.ðopˈtaɾ
adoptivo a.ðopˈti.βo
adoquier a.ðoˈkjeɾ
adoquiera a.ðoˈkje.ɾa
adoquinador a.ðo.ki.naˈðoɾ
adorable a.ðoˈɾa.βle
adorador a.ðo.ɾaˈðor
adorar a.ðoˈɾaɾ
adormecedor a.ðoɾ.me.seˈðoɾ
adormecer a.ðoɾ.meˈseɾ
adormentar a.ðoɾ.men̪ˈtaɾ
adornador a.ðoɾ.naˈðoɾ
adornar a.ðoɾˈnaɾ
adornista a.ðoɾˈnis.ta
adosar a.ðoˈsaɾ
adovelado a.ðo.βeˈla.ðo
adquirente að.kiˈɾen̪.te
adquirible að.kiˈɾi.βle
adquiridor að.ki.ɾiˈðoɾ
adquiriente að.kiˈɾjen̪.te
adquirir að.ki.ˈɾir
adquisidor að.ki.siˈðoɾ
adquisitivo að.ki.siˈti.βo
adragante a.ðɾaˈɣan̪.te
adraganto a.ðɾaˈɣan̪.to
adral aˈðɾal
adrede aˈðɾe.ðe
adrenal a.ðɾeˈnal
adrenalina a.ðɾe.naˈli.na
adrizar a.ðɾiˈsaɾ
adscribir aðs.kɾiˈβiɾ
adscrito aðsˈkɾi.to
adsorbente ad.soɾˈˈβen̪.te
adsorber ab.soɾˈβeɾ
adstrato aðsˈtɾa.to
adstringente aðs.tɾiŋˈxen̪.te
adstringir aðs.tɾiŋˈxiɾ
aduana aˈðwa.na
aduanal a.ðwaˈnal
aduanero a.ðwaˈne.ɾo
adufe aˈðu.fe
adufre aˈðu.fɾe
adujar a.ðuˈxaɾ
adul aˈðul
adulador a.ðu.laˈðoɾ
adular a.ðuˈlaɾ
adulatorio a.ðu.laˈto.ɾjo
adulciguar a.ðul.siˈɣwaɾ
adulete a.ðuˈle.te
adulterador a.ðul.te.ɾaˈðoɾ
adulterar a.ðul.teˈɾaɾ
adulterino a.ðul.teˈɾi.no
adulterio a.ðulˈte.rjo
adultez a.ðulˈtes
adulto a.ˈðul.to
adulzar a.ðul.ˈsaɾ
adunco aˈðun.ko
adurir a.ðuˈɾiɾ
adustez a.ðusˈtes
adustible a.ðusˈti.βle
adustivo a.ðus.ˈti.βo
adusto aˈðus.to
adutaque a.ðuˈta.ke
advenimiento að.βe.niˈmjen.to
adventicio að.βen̪ˈti.sjo
adventismo að.βen̪ˈtis.mo
adventista að.βen̪ˈtis.ta
adverbial að.βeɾˈβjal
adverbializar að.βeɾ.βja.liˈsaɾ
adverbio aðˈβeɾ.βjo
adversario að.βeɾˈsa.ɾjo
adversativo að.βeɾ.saˈti.βo
adversidad að.βeɾ.siˈðað
advertencia að.βeɾ.ˈten.sja
advertir að.βeɾˈtiɾ
adviento aðˈβjen.to
adyuvante að.ʝuˈβan̪.te
aeda aˈe.ða
aedo aˈe.ðo
aeriforme a.e.ɾiˈfoɾ.me
aerobio a.eˈɾo.βjo
aerobiosis a.e.ɾoˈβjo.sis
aeroclub a.e.ɾoˈklub
aerofagia a.e.ɾoˈfa.xja
aerofaro a.e.ɾoˈfa.ɾo
aerofobia a.e.ɾo.ˈfo.βja
aerograma a.e.ɾoˈɣɾa.ma
aerolito a.e.ɾoˈli.to
aeromancia a.e.ɾoˈman.sja
aeromodelismo a.e.ɾo.mo.ðeˈlis.mo
aeromodelista a.e.ɾo.mo.ðeˈlis.ta
aeromodelo a.e.ɾo.mo.ˈd̪e.lo
aeromoza a.e.ɾoˈmo.sa
aeronato a.e.ɾoˈna.to
aeronauta a.e.ɾoˈnaw.ta
aeronaval a.e.ɾo.naˈβal
aeronave a.e.ɾoˈna.βe
aeroparque a.e.ɾoˈpaɾ.ke
aeroplano a.e.ɾoˈpla.no
aeroportuario a.e.ɾo.poɾˈtwa.ɾjo
aeropostal a.e.ɾo.posˈtal
aeropuerto a.e.ɾoˈpweɾ.to
aerosol a.e.ɾoˈsol
aerostato a.e.ɾosˈt̪a.t̪o
aerostero a.e.ɾosˈte.ɾo
aerotaxi a.e.ɾoˈta.ksi
aerotecnia a.e.ɾoˈtek.nja
aeroterapia a.e.ɾo.teˈɾa.pja
aeroterrestre a.e.ɾo.teˈres.tɾe
aeta aˈe.ta
afabilidad a.fa.βi.liˈðað
afable aˈfa.βle
afablemente aˈfa.βleˈmen̪.te
afaccionado a.fak.sjoˈna.ðo
afacer a.faˈseɾ
afacimiento a.fa.siˈmjen̪.to
afanador a.fa.naˈðoɾ
afanita a.faˈni.ta
afanoso a.faˈno.so
afarolado a.fa.ɾoˈla.ðo
afasia a.ˈfa.sja
afeador a.fe.aˈðoɾ
afeamiento a.fe.aˈmjen.to
afeccionar a.fek.sjoˈnaɾ
afecho aˈfe.tʃo
afectable a.fekˈta.βle
afectador a.fek.taˈðoɾ
afectividad a.fek.ti.βiˈðað
afectivo a.fekˈti.βo
afectuosidad a.fek.two.siˈðað
afectuoso a.fekˈtwo.so
afeitadamente a.fejˈta.ðaˈmen̪.te
afeitadera a.fej.taˈðe.ɾa
afeitador a.fej.taˈðoɾ
afeitamiento a.fej.taˈmjen̪.to
afeitar a.fejˈtaɾ
afelio aˈfe.ljo
afeminadamente a.fe.mi.ˈna.ðaˈmen̪.te
afeminado a.fe.miˈna.ðo
afeminamiento a.fe.mi.naˈmjen.to
afer aˈfeɾ
aferencia a.feˈɾen.sja
aferente a.feˈɾen̪.te
aferidor a.fe.ɾiˈðoɾ
aferir a.feˈɾiɾ
aferradamente a.feˈra.ðaˈmen̪.te
aferrador a.fe.raˈðoɾ
aferramiento a.fe.raˈmjen.to
aferrar a.feˈraɾ
aferruzado a.fe.ruˈsa.ðo
afervorizar a.feɾ.βo.ɾiˈsaɾ
afestonado a.fes.toˈna.ðo
affaire aˈfeɾ
afgano afˈɰa.no
afianzador a.fjan.saˈðoɾ
afianzamiento a.fjan.saˈmjen.to
afianzar a/fjanˈsaɾ
aficionador a.fi.ssjo.naˈðoɾ
aficionar a.fi.sjoˈnaɾ
afijado a.fiˈxa.ðo
afijar a.fiˈxaɾ
afiladera a.fi.laˈðe.ɾa
afilador a.fi.laˈðoɾ
afiladura a.fi.laˈðu.ɾa
afilamiento a.fi.laˈmjen̪.to
afilar a.fiˈlaɾ
afiliar a.fiˈljaɾ
afilosofado a.fi.lo.soˈfa.ðo
afinadamente a.fiˈna.ðaˈmen̪.te
afinador a.fi.naˈðoɾ
afinadura a.fi.naˈðu.ɾa
afinamiento a.fi.naˈmjen̪.to
afinar a.fiˈnaɾ
afincadamente a.fiŋˈka.ðaˈmen̪.te
afincar a.fiŋˈkaɾ
afinidad a.fi.niˈðað
afirmadamente a.fiɾˈma.ðaˈmen̪.te
afirmador a.fiɾ.maˈðoɾ
afirmamiento a.fiɾ.maˈmjen̪.to
afirmar a.fiɾˈmaɾ
afirmativo a.fiɾ.maˈti.βo
afistolar a.fis.toˈlaɾ
afistular a.fis.tuˈlaɾ
afiuciar a.fjuˈsjaɾ
aflacar a.flaˈkaɾ
aflamar a.flaˈmaɾ
aflamencado a.fla.meŋˈka.ðo
aflaquecerse a.fla.keˈseɾ.se
aflechado a.fleˈtʃa.ðo
aflechate a.fleˈtʃa.te
aflictivo a.flikˈti.βo
aflicto aˈflik.to
afligible a.fliˈxi.βle
afligidamente a.fliˈxi.ðaˈmen̪.te
afligir a.fli.ˈxiɾ
aflojar a.floˈxaɾ
aflorar a.floˈɾaɾ
afluencia a.fluˈen.sja
afluente a.fluˈen̪.te
afluentemente aˈflwen̪.teˈmen̪.te
afluir aˈflwiɾ
aflujo aˈflu.xo
afogar a.foˈɣaɾ
afogonadura a.fo.ɣo.naˈðu.ra
aforador a.fo.ɾaˈðoɾ
aforisma a.foˈɾis.ma
aforismo a.foˈɾis.mo
aforo aˈfo.ɾo
aforrador a.fo.raˈðoɾ
aforradura a.fo.raˈðu.ɾa
aforrar a.foˈraɾ
aforrecho a.foˈre.tʃo
afortunadamente a.foɾ.tuˈna.ðaˈmen̪.te
afortunar a.foɾ.tuˈnaɾ
afrailamiento a.fɾaj.laˈmjen̪.to
afrancar a.fɾaŋˈkaɾ
afrancesamiento a.fɾan.se.saˈmjen̪.to
afrancesar a.fɾan.seˈsaɾ
afranjado a.fɾaŋˈxa.ðo
afrechero a.fɾeˈtʃe.ɾo
afrentador a.fɾen̪.taˈðoɾ
afrentoso a.fɾen̪ˈto.so
afresado a.fɾeˈsa.ðo
africado a.fɾiˈka.ðo
africana a.fɾiˈka.na
africanidad a.fɾi.ka.niˈðað
africanismo a.fɾi.kaˈnis.mo
africanista a.fɾi.kaˈnis.ta
africano a.fɾiˈka.no
afrikaans a.fɾiˈka.ans
afrisonado a.fɾi.soˈna.ðo
afro ˈa.fɾo
afroamericano ˌa.fɾo.a.me.ɾiˈka.no
afrocubano a.fɾo.kuˈβa.no
afrodisiaco a.fɾo.ðiˈsja.ko
afronegrismo ˌa.fɾo.neˈɣɾis.mo
afronegro ˌa.fɾoˈne.ɣɾo
afronitro ˌa.fɾoˈni.tɾo
afruenta aˈfɾwen̪.ta
afta ˈaf.ta
aftoso afˈto.so
afuciar a.fuˈsjaɾ
afuera aˈfwe.ɾa
afuerino a.fweˈɾi.no
afuste aˈfus.te
agace aˈɣa.se
agachadera a.ɣa.tʃaˈðe.ɾa
agachadiza a.ɣa.tʃaˈði.sa
agachar a.ɣaˈtʃaɾ
agalactia a.ɣaˈlak.tja
agalbanado a.ɣal.βaˈna.ðo
agamuzado a.ɣa.muˈsa.ðo
aganipeo a.ɣa.niˈpe.o
agapanto a.ɣaˈpan̪.to
agarabatado a.ɣa.ɾa.βaˈta.ðo
agarbanzar a.gar.ban.ˈsar
agareno a.ɰaˈɾe.no
agarradera a.ɣa.raˈðe.ɾa
agarradero a.ɣa.raˈðe.ɾo
agarrador a.ɣa.raˈðoɾ
agarrafador a.ɣa.ra.faˈðor
agarrante a.ɣaˈran̪.te
agarrar a.ɰaˈraɾ
agarrochador a.ɣa.ro.tʃaˈðoɾ
agarrochar a.ɣa.roˈtʃaɾ
agarrochear a.ɣa.ro.tʃeˈaɾ
agasajable a.ɣa.saˈxa.βle
agasajador a.ɣa.sa.xaˈðoɾ
agasajar a.ɣa.saˈxaɾ
agateador a.ɣa.te.aˈðoɾ
agatino a.ɣaˈti.no
agavanza a.ɣaˈβan.sa
agavanzo a.ɣaˈβan.so
agave aˈɣa.βe
agavillador a.ɣa.βi.ʎaˈðoɾ
agavillar a.ɣa.βiˈʎaɾ
agencia aˈxen.sja
agenciero a.xenˈsje.ɾo
agencioso a.xenˈsjo.so
agenda aˈxen.da
agenesia a.xeˈne.sja
agente aˈχen.te
agerasia a.xeˈɾa.sja
agestarse a.xesˈtaɾ.se
agible aˈxi.βle
agilidad a.xi.liˈðað
agilitar a.xi.liˈtaɾ
agio aˈxjo
agiotador a.xjo.taˈðoɾ
agiotaje a.xjoˈta.xe
agiotista a.xjoˈtis.ta
agitable a.xiˈta.βle
agitador a.xi.taˈðoɾ
agitante a.xi.taˈðoɾ
aglomerado a.ɣlo.meˈɾa.ðo
aglomerante a.ɣlo.meˈɾan̪.te
aglomerar a.ɣlo.meˈɾaɾ
aglutinante a.ɣlu.tiˈnan.te
agnado aɣˈna.ðo
agnaticio aɣ.naˈti.sjo
agnocasto ˌaɣnoˈkas.to
agnombre ˌaɣˈnom.bɾe
agnomento ˌaɣnoˈkmen̪.to
agnosia aɣˈno.sja
agonista a.ɰoˈnis.ta
agonizar a.ɰo.niˈsaɾ
agorador a.ɣo.ɾaˈðoɾ
agorafobia a.ɣo.ɾaˈfo.βja
agorar a.ɰo.ˈɾar
agorero a.ɣoˈɾe.ɾo
agostar a.ɣosˈtaɾ
agotador a.ɣo.taˈðoɾ
agotar a.ɣoˈtaɾ
agozcado a.ɣosˈka.ðo
agracejo a.gɾaˈse.xo
agraciadamente ˌa.ɣɾaˈsja.ðaˈmen̪.te
agraciar a.ɣɾaˈsjaɾ
agracillo a.ɰɾaˈsi.ʝo
agradable a.ɣɾaˈða.βle
agradablemente a.ɣɾaˈða.βleˈmen̪.te
agradador a.ɣɾa.ðaˈðoɾ
agradamiento a.ɣɾa.ðaˈmjen̪.to
agradar a.ɣɾaˈðaɾ
agradecimiento a.ɣɾa.ðe.siˈmjen̪.to
agrafia aˈɣɾa.fja
agramadera a.ɣɾa.maˈðe.ɾa
agramado a.ɣɾaˈma.ðo
agramador a.ɣɾa.maˈðoɾ
agramar a.ɣɾaˈmaɾ
agramatical a.ɣɾa.ma.tiˈkal
agramaticalidad ˌa.ɣɾa.ma.ti.ka.liˈðað
agramente ˈa.ɣɾaˈmen̪.te
agramiza a.ɣɾaˈmi.sa
agrandamiento a.ɣɾan̪.daˈmjen̪.to
agrandar a.ɣɾan̪ˈdaɾ
agranujado a.ɣɾa.nuˈxa.ðo
agrario aˈɣɾa.ɾjo
agrarismo a.ɣɾaˈɾis.mo
agrarista a.ɣɾaˈɾis.ta
agravador a.ɣɾaˈβa.ðor
agravamiento a.ɣɾa.βaˈmjen̪to
