aaronita a.a.4o"ni.ta
acorde a"ko4.De
acordelar a.ko4.De"la4
acordemente a"ko4.De"men_d.te
acordeonista a.ko4.Deo"nis.ta
acordonamiento a.ko4.Do.na"mjen_d.to
acornar a.ko4"na4
acorneador a.ko4.nea"Do4
acornear a.ko4.ne"a4
acorralamiento a.ko.4a.la"mjen_d.to
acorralar a.ko.ra"la4
acorredor a.ko.re"Do4
acorrer a.ko"re4
acorrimiento a.kori"mjen_d.to
acorrucarse a.ko.ru"ka4.se
acortamiento a.ko4.ta"mjen_d.to
acortar a.ko4"ta4
acorvar a.kor"Bar
acosamiento a.ko.sa"mjen_d.to
acosar a.ko"sa4
acosijar a.ko.si"xa4
acosmismo a.kos"mis.mo
acostamiento a.kos.ta"mjen_d.to
acostar a.kos"ta4
acostumbrar a.kos.tum"b4a4
acotamiento a.ko.t_da"mjen_d.t_do
acotar a.ko"ta4
acotolar a.ko.to"la4
acoyundar a.ko.j\un_d "da4
acoyuntar a.ko.j\un_d "ta4
acoyuntero a.ko.j\un_d"te.4o
acre "a.k4e
acrebite a"k4e.Bi.te
acrecencia a.k4e"sen_d.sja
acrecentamiento a.k4e"sen_d.ta"mjen_d.to
acrecer a.k4e"se4
acrecimiento a.k4e"si"mjen_d.to
acreditativo a.k4e.Di.ta"ti.Bo
acreedor a.k4e.e"Do4
acreencia a.k4e"en.sja
acreer a.k4e"e4
acremente a.k4e"men_d.te
acrianzar a.k4i.an"sa4
acribador a.k4i.Ba"Do4
acribadura a.k4i.ba"Du.4a
acribar a.k4i"Ba4
acribillar a.k4i.Bi."ʎa4
acrilato a.k4i"la.to
acriminador a.kri.mi.na"Do4
acriminar a.k4i.mi"na4
acrimonia a.k4i"mo.nja
acrisoladamente a.k4i.so"la.Da"men_d.te
acrisolar a.k4i.so"la4
acristalamiento a.k4is.ta.la"mjen_d.to
acristalar a.kris.ta"la4
acristianar a.kris"tja.na4
acritud a.k4i"tud
acrobacia a.kro."Ba.sja
acrobatismo a.kro.Ba."tiz.mo
acroe a"k4o.e
acrofobia a.k4o"fo.Bja
acromado a.k4o"ma.Do
acromatismo a.k4o.ma"tis.mo
acromatizar a%k4o.ma.ti"sa4
acromegalia a.k4o.me"Ga.lja
acromial a.k4o."mjal
acromiano a.k4o"mja.no
acromio ...
acromion a."k4o.mjon
acrostolio a.k4os"to.ljo
acrotera a.k4o"te.4a
acroteria a.k4o"te.4ja
acroterio a.k4o"te.4jo
acroy a"k4oj
acta "ak.ta
actea ak"te.a
actinia ak"ti.nja
actinio ak"ti.njo
actinismo ak.ti"nis.mo
actinomices ak.t_di.no."mi.ses
actinomicosis ak.t_di.no.mi"ko.sis
actinomorfo %ak.ti.no"mo4.fo
actinota ak.t_di"no.t_da
actitud ak.ti"tuD
activador ak.ti.Ba"Do4
activamente ak"ti.Ba"men_d.te
activar ak.ti"Ba4
actividad ak.ti.Bi"DaD
activismo ak.ti"Bis.mo
activista ak.ti"Bis.ta
acto "ak.to
actor aC"to4
actora ak"to.4a
actriz ak"t4is
actual ak'twal
actualidad ak.twa.li"DaD
actualizador ak.t_dwa.li.sa"Do4
actualmente ak"twal"men_d.te
actuante ak"twan_d.te
actuar ak."twa4
actuaria ak"twa.4ja
actuarial ak.twa"4jal
actuario ak"twa.4jo
actuosidad ak.two.si"DaD
actuoso ak"two.so
acuache a"kwa.tSe
acuantiar a.kwan_d"tja4
acuarela a.kwa"4e.la
acuartar a.kwa4"ta4
acuartelamiento a.kwa4.te.la"mjen_d.to
acuartelar a.kwa4.te"la4
acuatizar a.kwa.ti"sa4
acubado a.ku"Ba.Do
acubilar a.ku.Bi"la4
acucharado a.ku.tSa"4a.Do
acuciadamente a.ku"sja.Da"men_d.te
acuciador a.ku.sja"Do4
acuciamiento a"ku.sja"mjen_d.to
acuciante a.ku"sjan_d.te
acuciar a.ku"sja4
acuciosamente a.ku"sjo.sa"men_d.te
acuciosidad a.ku.sjo.si"DaD
acucioso a.ku"sjo.so
acudiciar a.ku.Di"sja4
acudiente a.ku"Djen_d.te
acudimiento a.ku.Di"mjen_d.to
acudir a.ku.Di4
acueducto a.kwe"Duk.to
acuerpar a.kwe4"pa4
acuicultura a.kwi.kul"tu.4a
acuidad a.kwi"DaD
acuitadamente a.kwi"ta.Da"men.te
acuitamiento a.kwi.ta"mjen_d.to
acuitar a.kwj"ta4
aculado a.ku"la.Do
acular a.ku"la4
aculatar a.ku.la"ta4
aculebrinado a.ku.le.B4i"na.Do
acullicar a.ku.j\i"ka4
acumen a"ku.men
acuminado a.ku.mi."na.Do
acuminoso a.ku.mi."no.so
acumulable a.ku.mu"la.Ble
acumulador a.ku.mu.la"Do4
acumulamiento a.ku.mu.la"mjen_d.to
acumular a.ku.mu"la4
acumulativo a.ku.mu.la"ti.Bo
acunar a.ku"na4
acuntir a.kun_d"ti4
acuosidad a.kwo.si"DaD
acuoso a"kwo.so
acupuntor a.ku.pun_d"to4
acuradamente a.ku"4a.Da"men_d.te
acurado a.ku"4a.Do
acurdarse a.ku4"Da4.se
acure a"ku.4e
acurrucarse a.ku.ru"ka4.se
acusable a.ku"sa.Ble
acusador a.ku.sa"Do4
acusar a.ku"sa4
acusativo a.ku.sa"ti.Bo
acusatorio a.ku.sa"to.4jo
acuseta a.ku"se.ta
acusete a.ku"se.te
acusica a.ku"si.ka
acusique a.ku"si.ke
adafina a.Da"fi.na
adagial a.Da"xjal
adahala a.Da"a.la
adala a"Da.la
adalid a.Da"liD
adamadura a.Da.ma"Du.4a
adamamiento a.Da.ma"mjen_d.to
adamante a.Da"man_d.te
adamantino a.Da.man_d"ti.no
adamismo a.Da"mis.mo
adamita a.Da"mi.ta
adanida a.Da"ni.Da
adanismo a.Da"nis.mo
adaptable a.Dap"ta.Ble
adaptador aDaptaDo4
adaptar a.Dap"ta4
adaraja a.Da"4a.xa
adarce a"Da4.se
adarga a"Da4.ga
adarguero a.Da4"Ge.4o
adarme a"Dar.me
adaza a"Da.sa
adecuar a.De"kwa4
adefera a.De"fe.4a
adefesio a.De."fe.sjo
adefina a.De"fi.na
adefuera a.De"fwe.4a
adelantadamente a.De.lan"ta.Da"men.te
adelantador a.De.lan.ta"Do4
adelantamiento a.De.lan.ta"mjen.to
adelantar a.De.lan_d"ta4
adelfa a"Del.fa
adelfal a"Del.fal
adelgazador a.Del.Ga.sa"Do4
adelgazante a.Del.Ga"san_d.te
adelgazar a.Del.ga."sa4
ademador a.De.ma"Do4
ademar a.De"ma4
adempribio a.Dem"p4i.Bio
ademprio a"Dem.p4jo
adenda a"Den_d.d_da
adenia a"De.nja
adenitis a.De"ni.tis
adenoideo a.De.noj"De.o
adenoides a.De"noj.Des
adenoma a.De"no.ma
adenoso a.De"no.so
adentrarse a.Den_d"t4a4.se
aderra a"De.ra
aderredor a.De.re"Do4
adestrador a.Des.t4a"Do4
adestrar a.Des"t4a4
adherecer a.De.4e"se4
adherente a.De"4en_d.te
adherir aD.e"4i4
adhesivo a.De"si.Bo
adiafa a"Dja.fa
adiamantado a.Dja.man_d"ta.Do
adiano a"Dja.no
adiar a"Dja4
adicionador a.Di.sjo.na"Do4
adicional a.Di.sjo"nal
adictivo a.Dik"ti.Bo
adicto a"Dik.to
adieso a"Dje.so
adiestrador a.Djes.t4a"Do4
adiestrar a.Djes"t4a4
adinamia a.Di"na.mja
adinerado a.Di.ne´4a.Do
adintelado a.Din_d.te"la.Do
adipocira a.Di.po"si.4a
adiposis a.Di"po.sis
adiposo a.Di"po.so
adir a"Di4
aditamento a.Di.ta"men_d.to
aditicio a.Di"ti.sjo
aditivo a.Di"ti.Bo
adiva a"Di.Ba
adive a"Di.Be
adivinador a.Di.Bi.na"Do4
adivinaja a.Di.Bi"na.xa
adivinamiento a.Di.Bi.na"mjen_d.to
adivinanza a.Di.Bi.nan.sa
adivinar a.Di.Bi"na4
adivinatorio a.Di.Bi.na"to.4jo
adjetival aD.xe.ti"Bal
adjetivar aD.xe.ti"Ba4
adjudicador aD.xu.Di.ka"Do4
adjudicar aD.xu.Di"ka4
adjudicatario aD.xu.Di.ka"ta.4jo
adjunto aD"xun.to
adjurable aD.xu"4a.Ble
adjurado aD.xu"4a.Do
adjurador aD.xu.4a"Do4
adjutor aD.xu"to4
adjutorio aD.xu"to.4jo
administrador ad.mi.nis"t4a.do4
administrar aD.mi.nis"t4ar
administrativista aD.mi.nis.t4a.ti"Bis.ta
administratorio aD.mi.nis.t4a"to.4jo
admirable aD.mi"4a.Ble
admirador aD.mi.4a"Do4
admirar ad.mi"4a4
admirativo aD.mi.4a"ti.Bo
admisible aD.mi"si.Ble
admitancia aD.mi"tan.sja
admitencia aD.mi"ten.sja
admitir aD.mi"ti4
admonitor ad_d.mo.ni"to4
admonitorio ad_d.mo.ni"to.4jo
adnado aD"na.Do
adnato aD"na.to
adobador a.Do.Ba"Do4
adobar a.Do"Ba4
adobera a.Do"Be.4a
adocenado a.Do.se."na.Do
adoctrinar a.Dok.t4i"na4
adolecer a.Do.le"se4
adoleciente a.Do.le"sjen_d.te
adolescencia a.Do.les."sen.sja
adolescente a.Do.le"sen_d.te
adolorido a.Do.lo"4i.Do
adonarse a.Do"na4.se
adonde a."Don.d_de
adondequiera a.Don_d.de"kje.4a
adonecer a.Do.ne"se4
adonio a"Do.njo
adonis a"Do.nis
adopcionismo a.Dop.sjo"nis.mo
adopcionista a.Dop.sjo"nis.ta
adoptable a.Dop"ta.Ble
adoptador a.Dop.ta"Do4
adoptante a.Dop"tan_d.te
adoptar a.Dop"ta4
adoptivo a.Dop"ti.Bo
adoquier a.Do"kje4
adoquiera a.Do"kje.4a
adoquinador a.Do.ki.na"Do4
adorable a.Do"4a.Ble
adorador a.Do.4a"Dor
adorar a.Do"4a4
adormecedor a.Do4.me.se"Do4
adormecer a.Do4.me"se4
adormentar a.Do4.men_d"ta4
adornador a.Do4.na"Do4
adornar a.Do4"na4
adornista a.Do4"nis.ta
adosar a.Do"sa4
adovelado a.Do.Be"la.Do
adquirente aD.ki"4en_d.te
adquirible aD.ki"4i.Ble
adquiridor aD.ki.4i"Do4
adquiriente aD.ki"4jen_d.te
adquirir aD.ki."4ir
adquisidor aD.ki.si"Do4
adquisitivo aD.ki.si"ti.Bo
adragante a.D4a"Gan_d.te
adraganto a.D4a"Gan_d.to
adral a"D4al
adrede a"D4e.De
adrenal a.D4e"nal
adrenalina a.D4e.na"li.na
adrizar a.D4i"sa4
adscribir aDs.k4i"Bi4
adscrito aDs"k4i.to
adsorbente ad.so4""Ben_d.te
adsorber ab.so4"Be4
adstrato aDs"t4a.to
adstringente aDs.t4iN"xen_d.te
adstringir aDs.t4iN"xi4
aduana a"Dwa.na
aduanal a.Dwa"nal
aduanero a.Dwa"ne.4o
adufe a"Du.fe
adufre a"Du.f4e
adujar a.Du"xa4
adul a"Dul
adulador a.Du.la"Do4
adular a.Du"la4
adulatorio a.Du.la"to.4jo
adulciguar a.Dul.si"Gwa4
adulete a.Du"le.te
adulterador a.Dul.te.4a"Do4
adulterar a.Dul.te"4a4
adulterino a.Dul.te"4i.no
adulterio a.Dul"te.rjo
adultez a.Dul"tes
adulto a."Dul.to
adulzar a.Dul."sa4
adunco a"Dun.ko
adurir a.Du"4i4
adustez a.Dus"tes
adustible a.Dus"ti.Ble
adustivo a.Dus."ti.Bo
adusto a"Dus.to
adutaque a.Du"ta.ke
advenimiento aD.Be.ni"mjen.to
adventicio aD.Ben_d"ti.sjo
adventismo aD.Ben_d"tis.mo
adventista aD.Ben_d"tis.ta
adverbial aD.Be4"Bjal
adverbializar aD.Be4.Bja.li"sa4
adverbio aD"Be4.Bjo
adversario aD.Be4"sa.4jo
adversativo aD.Be4.sa"ti.Bo
adversidad aD.Be4.si"DaD
advertencia aD.Be4."ten.sja
advertir aD.Be4"ti4
adviento aD"Bjen.to
adyuvante aD.j\u"Ban_d.te
aeda a"e.Da
aedo a"e.Do
aeriforme a.e.4i"fo4.me
aerobio a.e"4o.Bjo
aerobiosis a.e.4o"Bjo.sis
aeroclub a.e.4o"klub
aerofagia a.e.4o"fa.xja
aerofaro a.e.4o"fa.4o
aerofobia a.e.4o."fo.Bja
aerograma a.e.4o"G4a.ma
aerolito a.e.4o"li.to
aeromancia a.e.4o"man.sja
aeromodelismo a.e.4o.mo.De"lis.mo
aeromodelista a.e.4o.mo.De"lis.ta
aeromodelo a.e.4o.mo."d_de.lo
aeromoza a.e.4o"mo.sa
aeronato a.e.4o"na.to
aeronauta a.e.4o"naw.ta
aeronaval a.e.4o.na"Bal
aeronave a.e.4o"na.Be
aeroparque a.e.4o"pa4.ke
aeroplano a.e.4o"pla.no
aeroportuario a.e.4o.po4"twa.4jo
aeropostal a.e.4o.pos"tal
aeropuerto a.e.4o"pwe4.to
aerosol a.e.4o"sol
aerostato a.e.4os"t_da.t_do
aerostero a.e.4os"te.4o
aerotaxi a.e.4o"ta.ksi
aerotecnia a.e.4o"tek.nja
aeroterapia a.e.4o.te"4a.pja
aeroterrestre a.e.4o.te"res.t4e
aeta a"e.ta
afabilidad a.fa.Bi.li"DaD
afable a"fa.Ble
afablemente a"fa.Ble"men_d.te
afaccionado a.fak.sjo"na.Do
afacer a.fa"se4
afacimiento a.fa.si"mjen_d.to
afanador a.fa.na"Do4
afanita a.fa"ni.ta
afanoso a.fa"no.so
afarolado a.fa.4o"la.Do
afasia a."fa.sja
afeador a.fe.a"Do4
afeamiento a.fe.a"mjen.to
afeccionar a.fek.sjo"na4
afecho a"fe.tSo
afectable a.fek"ta.Ble
afectador a.fek.ta"Do4
afectividad a.fek.ti.Bi"DaD
afectivo a.fek"ti.Bo
afectuosidad a.fek.two.si"DaD
afectuoso a.fek"two.so
afeitadamente a.fej"ta.Da"men_d.te
afeitadera a.fej.ta"De.4a
afeitador a.fej.ta"Do4
afeitamiento a.fej.ta"mjen_d.to
afeitar a.fej"ta4
afelio a"fe.ljo
afeminadamente a.fe.mi."na.Da"men_d.te
afeminado a.fe.mi"na.Do
afeminamiento a.fe.mi.na"mjen.to
afer a"fe4
aferencia a.fe"4en.sja
aferente a.fe"4en_d.te
aferidor a.fe.4i"Do4
aferir a.fe"4i4
aferradamente a.fe"ra.Da"men_d.te
aferrador a.fe.ra"Do4
aferramiento a.fe.ra"mjen.to
aferrar a.fe"ra4
aferruzado a.fe.ru"sa.Do
afervorizar a.fe4.Bo.4i"sa4
afestonado a.fes.to"na.Do
affaire a"fe4
afgano af"M\a.no
afianzador a.fjan.sa"Do4
afianzamiento a.fjan.sa"mjen.to
afianzar a/fjan"sa4
aficionador a.fi.ssjo.na"Do4
aficionar a.fi.sjo"na4
afijado a.fi"xa.Do
afijar a.fi"xa4
afiladera a.fi.la"De.4a
afilador a.fi.la"Do4
afiladura a.fi.la"Du.4a
afilamiento a.fi.la"mjen_d.to
afilar a.fi"la4
afiliar a.fi"lja4
afilosofado a.fi.lo.so"fa.Do
afinadamente a.fi"na.Da"men_d.te
afinador a.fi.na"Do4
afinadura a.fi.na"Du.4a
afinamiento a.fi.na"mjen_d.to
afinar a.fi"na4
afincadamente a.fiN"ka.Da"men_d.te
afincar a.fiN"ka4
afinidad a.fi.ni"DaD
afirmadamente a.fi4"ma.Da"men_d.te
afirmador a.fi4.ma"Do4
afirmamiento a.fi4.ma"mjen_d.to
afirmar a.fi4"ma4
afirmativo a.fi4.ma"ti.Bo
afistolar a.fis.to"la4
afistular a.fis.tu"la4
afiuciar a.fju"sja4
aflacar a.fla"ka4
aflamar a.fla"ma4
aflamencado a.fla.meN"ka.Do
aflaquecerse a.fla.ke"se4.se
aflechado a.fle"tSa.Do
aflechate a.fle"tSa.te
aflictivo a.flik"ti.Bo
aflicto a"flik.to
afligible a.fli"xi.Ble
afligidamente a.fli"xi.Da"men_d.te
afligir a.fli."xi4
aflojar a.flo"xa4
aflorar a.flo"4a4
afluencia a.flu"en.sja
afluente a.flu"en_d.te
afluentemente a"flwen_d.te"men_d.te
afluir a"flwi4
aflujo a"flu.xo
afogar a.fo"Ga4
afogonadura a.fo.Go.na"Du.ra
aforador a.fo.4a"Do4
aforisma a.fo"4is.ma
aforismo a.fo"4is.mo
aforo a"fo.4o
aforrador a.fo.ra"Do4
aforradura a.fo.ra"Du.4a
aforrar a.fo"ra4
aforrecho a.fo"re.tSo
afortunadamente a.fo4.tu"na.Da"men_d.te
afortunar a.fo4.tu"na4
afrailamiento a.f4aj.la"mjen_d.to
afrancar a.f4aN"ka4
afrancesamiento a.f4an.se.sa"mjen_d.to
afrancesar a.f4an.se"sa4
afranjado a.f4aN"xa.Do
afrechero a.f4e"tSe.4o
afrentador a.f4en_d.ta"Do4
afrentoso a.f4en_d"to.so
afresado a.f4e"sa.Do
africado a.f4i"ka.Do
africana a.f4i"ka.na
africanidad a.f4i.ka.ni"DaD
africanismo a.f4i.ka"nis.mo
africanista a.f4i.ka"nis.ta
africano a.f4i"ka.no
afrikaans a.f4i"ka.ans
afrisonado a.f4i.so"na.Do
afro "a.f4o
afroamericano %a.f4o.a.me.4i"ka.no
afrocubano a.f4o.ku"Ba.no
afrodisiaco a.f4o.Di"sja.ko
afronegrismo %a.f4o.ne"G4is.mo
afronegro %a.f4o"ne.G4o
afronitro %a.f4o"ni.t4o
afruenta a"f4wen_d.ta
afta "af.ta
aftoso af"to.so
afuciar a.fu"sja4
afuera a"fwe.4a
afuerino a.fwe"4i.no
afuste a"fus.te
agace a"Ga.se
agachadera a.Ga.tSa"De.4a
agachadiza a.Ga.tSa"Di.sa
agachar a.Ga"tSa4
agalactia a.Ga"lak.tja
agalbanado a.Gal.Ba"na.Do
agamuzado a.Ga.mu"sa.Do
aganipeo a.Ga.ni"pe.o
agapanto a.Ga"pan_d.to
agarabatado a.Ga.4a.Ba"ta.Do
agarbanzar a.gar.ban."sar
agareno a.M\a"4e.no
agarradera a.Ga.ra"De.4a
agarradero a.Ga.ra"De.4o
agarrador a.Ga.ra"Do4
agarrafador a.Ga.ra.fa"Dor
agarrante a.Ga"ran_d.te
agarrar a.M\a"ra4
agarrochador a.Ga.ro.tSa"Do4
agarrochar a.Ga.ro"tSa4
agarrochear a.Ga.ro.tSe"a4
agasajable a.Ga.sa"xa.Ble
agasajador a.Ga.sa.xa"Do4
agasajar a.Ga.sa"xa4
agateador a.Ga.te.a"Do4
agatino a.Ga"ti.no
agavanza a.Ga"Ban.sa
agavanzo a.Ga"Ban.so
agave a"Ga.Be
agavillador a.Ga.Bi.ʎa"Do4
agavillar a.Ga.Bi"ʎa4
agencia a"xen.sja
agenciero a.xen"sje.4o
agencioso a.xen"sjo.so
agenda a"xen.da
agenesia a.xe"ne.sja
agente a"Xen.te
agerasia a.xe"4a.sja
agestarse a.xes"ta4.se
agible a"xi.Ble
agilidad a.xi.li"DaD
agilitar a.xi.li"ta4
agio a"xjo
agiotador a.xjo.ta"Do4
agiotaje a.xjo"ta.xe
agiotista a.xjo"tis.ta
agitable a.xi"ta.Ble
agitador a.xi.ta"Do4
agitante a.xi.ta"Do4
aglomerado a.Glo.me"4a.Do
aglomerante a.Glo.me"4an_d.te
aglomerar a.Glo.me"4a4
aglutinante a.Glu.ti"nan.te
agnado aG"na.Do
agnaticio aG.na"ti.sjo
agnocasto %aGno"kas.to
agnombre %aG"nom.b4e
agnomento %aGno"kmen_d.to
agnosia aG"no.sja
agonista a.M\o"nis.ta
agonizar a.M\o.ni"sa4
agorador a.Go.4a"Do4
agorafobia a.Go.4a"fo.Bja
agorar a.M\o."4ar
agorero a.Go"4e.4o
agostar a.Gos"ta4
agotador a.Go.ta"Do4
agotar a.Go"ta4
agozcado a.Gos"ka.Do
agracejo a.g4a"se.xo
agraciadamente %a.G4a"sja.Da"men_d.te
agraciar a.G4a"sja4
agracillo a.M\4a"si.j\o
agradable a.G4a"Da.Ble
agradablemente a.G4a"Da.Ble"men_d.te
agradador a.G4a.Da"Do4
agradamiento a.G4a.Da"mjen_d.to
agradar a.G4a"Da4
agradecimiento a.G4a.De.si"mjen_d.to
agrafia a"G4a.fja
agramadera a.G4a.ma"De.4a
agramado a.G4a"ma.Do
agramador a.G4a.ma"Do4
agramar a.G4a"ma4
agramatical a.G4a.ma.ti"kal
agramaticalidad %a.G4a.ma.ti.ka.li"DaD
agramente "a.G4a"men_d.te
agramiza a.G4a"mi.sa
agrandamiento a.G4an_d.da"mjen_d.to
agrandar a.G4an_d"da4
agranujado a.G4a.nu"xa.Do
agrario a"G4a.4jo
agrarismo a.G4a"4is.mo
agrarista a.G4a"4is.ta
agravador a.G4a"Ba.Dor
agravamiento a.G4a.Ba"mjen_dto
agravante a.G4a"Ban_d.te
agravantemente a.G4a"Ban_d.te.men_d.te
agravar a.G4a"Bar
agravatorio a.G4a.Ba"to.4jo
agraviadamente a.G4a"Bja.Da"men_d.te
agraviador a.G4a.Bja"Do4
agraviamiento a.G4a.Bja"mjen_d.to
agraviar a.G4a"Bja4
agravioso a.G4a"Bjo.so
agraz a"G4as
agre "a.G4e
agredir a.Gre"Di4
agregar a.G4e"Ga4
agregativo a.G4e.Ga."t_di.Bo
agresivamente a.G4e"si.Ba"men_d.te
agresividad a.G4e.si.Bi"DaD
agresivo a.G4e"si.Bo
agreza a"G4e.sa
agriamente "a.G4ja"men_d.te
agriar a"G4ja4
agricultor a.G4i.kul"to4
agricultura a.g4i.kul."tu.4a
agridulce a.G4i"Dul.se
agriera a"G4je.4a
agrimensor a.G4i.men"so4
agrimensura a.M\4i.men"su.4a
agripalma a.G4i"pal.ma
agrisar a.G4i"sa4
agroalimentario a.G4o.a.li.men_d"ta.rjo
agroforestal a.G4o.fo.4es"tal
agroindustria a.G4ojn_d"dus.t4ja
agroindustrial a.G4ojn_d.dus"t4jal
agropecuario a.G4o.pe"kwa.4jo
agror a"G4o4
agrupable a.G4u"pa.Ble
agrupador a.G4u.pa"Do4
agrupamiento a.G4u.pa"mjen_d.to
agrupar a.G4u'pa4
agrura a"G4u.4a
aguacatal a.Gwa.ka"tal
aguacate a.wa"ka.te
aguacero a.Gwa"se.4o
aguachento a.M\wa"ʧen.to
aguachinar a γwa t∫i "nar
aguachirle a.M\wa"t∫ir.le
aguacibera a.Gwa.si"Be.4a
aguador a.Gwa"Do4
aguafuerte a.M\wa"fwe4.te
aguaitar a.Gwaj"ta4
aguamanil a.Gwa.ma"nil
aguamarina a"gua"ma"ri"na.
aguantar a.M\wan"ta4
aguar a"M\wa4
aguardar a.Gwa4"Da4
aguardentero a.Gwa4.Den_d"te.4o
aguardentoso a.Gwa4.Den_d"to.so
aguardiente a.Gwa4"Djen_d.te
aguarrada a.M\wa"ra.Da
aguascalentense a.Gwas.ka.len_d"ten.se
aguatero a.Gwa"te.4o
aguatinta a.M\wa"tin_d.ta
aguayo a"M\wa.j\o
aguazal a.Gwa"sal
agucioso a.Gu"sjo.so
agudamente a"Gu.Da"men_d.te
agudez a.Gu"Des
agudeza a.Gu"De.sa
agudizar a.M\u.Di"sa4
agudo a"Gu.Do
aguilando a.Gi"lan_d.do
aguilucho a.Gi"lu.t͡So
aguinaldo a.Gi"nal.do
agujerear a.Gu.xe.4e"a4
agusanarse a.Gu.sa"na4.se
aherir a.e"4i4
aherrojar a.e.ro"xa4
ahilamiento ai.la"mjen_d.to
ahincadamente a.iN"ka.Da"men_d.te
ahitamiento a.i.ta"mjen.to
ahitera ai"te.4a
ahogadero a.o.Ga"De.4o
ahogadilla a o γa "Di La
ahora a"o.4a
ahorcar a.or"kar
ahornagarse a.o4.na"Ga4.se
ahorrador a.o.ra"Do4
ahuecar a.we"ka4
ahuizote awi"so.te
ahuyentar a.u.j\en"ta4
aimara aj"ma.4a
airampo aj"4am.po
airar aj"4a4
airbag ej4"Baɡ
aire "aj.4e
aisenino aj.se"ni.no
aisladamente ajs%la.Da"men_d.te
aislar ajs"la4
ajedrecista a.xe.D4e"sis.ta
ajedrez a.xe"D4es
ajenabe a.xe"na.Be
ajenjo a"xeN.xo
ajetrear a.xe.t4e"a4
ajiaco a"xia.ko
ajimez a.xi"mes
ajipa a"xi.pa
ajipuerro a.xi"pwe.ro
ajironar a.xi.4o"na4
ajizal a.xi."sal
ajobar a.xo"Ba4
ajobero a.xo"Be.4o
ajofaina a.xo"faj.na
ajolio a"xo.ljo
ajomate a.xo"ma.te
ajonje a"xoN.xe
ajonjera a.xoN"xe.4a
ajoqueso a.xo"ke.so
ajuar a"xwa4
ajuiciar a.xwi"sja4
ajuntar a.xun_d"ta4
ajustable a.xus"ta.Ble
ajustadamente a.xus"ta.Da"men_d.te
ajustamiento a.xus.ta"mjen.to
ajustar a.xus"ta4
ajustero a.xus"te.4o
ala "a.la
alabable a.la"Ba.Ble
alabador a.la.Ba"Dor
alabancero a.la.Ban"se.4o
alabancioso a.la.Ban"sjo.so
alabandina a.la.Ban_d"di.na
alabanza a.la."Ban.sa
alabar a.la."Ba4
alabarda a.la"Ba4.Da
alabardado a.la.Ba4"Da.Do
alabastrado a.la.Bas"t4a.õo
alabastrino a.la.Bas"t4i.no
alabastrita a.la.Bas"t4i.ta
alabastrites a.la.Bas"t4i.tes
alabastro a.la"Bas.t4o
alabear a.la.Be"a4
alacridad a.la.c4i"DaD
alambicar a.lam.bi"ka4
alambiquero a.lam.bi"ke.4o
alambre a"lam.b4e
alameda a.la"me.Da
alarbe a"la4.Be
alardear a.la4"De.a4
alaria a."la.4ja
alarife a.la"4i.fe
alarmador a.la4.ma"Do4
alarmante a.la4"man.te
alarmar a.la4"ma4
alasita a.la"si.ta
alastrar a.las"t4a4
albano al"Ba.no
albaricoque al.Ba.4i"ko.ke
albaricoquero al.Ba.4i.ko"ke.4o
albarraz al.Ba"ras
albatros al."ba.t4os
albedo al"Be.Do
albedriar al.be"D4ja4
albeldar al.bel"da4
albinismo al.Bi"nis.mo
albor al"Bo4
alborada al.bo"4a.Da
alborecer al.Bo.4e"se4
alborga al"Bo4.Ga
alborotadizo al.Bo.4o.ta"Di.so
alborotador al.Bo.4o.ta"Do4
alborotapueblos al.Bo.4o.ta"pwe.Blos
alborotar al.Bo.4o"ta4
alborotero al.Bo.4o"te.4o
alborotista al.Bo.4o"tis.ta
alborotoso al.Bo.4o"to.so
alburear al.bu.4e."a4
alcacer al.ka."se4
alcachofa al.ka."tSo.fa.
alcahazar al.ka.a."sar
alcahotar al.ka.o"ta4
alcahuete a_-l.ka_-"we_o.te_o
alcaide al"kaj.De
alcalde al."kal.de
alcaldesa al.kal"de.sa
alcalescencia al.ka.les"sen.sja
alcalifa al.ka"li.fa
alcalifaje al.ka.li"fa.xe
alcalino al.ka"li.no
alcalizar al.ka.li"sa4
alcaloide al.ka"loj.De
alcamiz al.ka"mis
alcana al"ka.na
alcanciazo al.kan.si"a.so
alcantarino al.kan_d.ta"4i.no
alcanzable al.kan"sa.Ble
alcanzadizo al.kan.sa"Di.so
alcanzador al.kan.sa"Do4
alcanzadura al.kan.sa"Du.4a
alcanzar al.kan"sa4
alcanzativo al.kan.sa"ti.Bo
alcaparrado al.ka.pa"ra. Do
alcaparral al.ka.pa"ral
alcaparro al.ka"pa.ro
alcaparrosa al.ka.pa"ro.sa
alcaptonuria al.kap.to"nu.4ja
alcapurria al.ka"pu.rja
alcaravea al.ka.4a"Be.a
alcayata al.ka"j\a.ta
alcista al"sis.ta
alcoba al"ko.Ba
alcocarra al.ko."ka.ra
alcohol al.ko."ol
alcoholismo al.ko.o"lis.mo
alcurnia al"ku4.nja
alcuza al"ku.sa
aldaba al"Da.Ba
aldabada al.da"Ba.Da
aldea al"de.a
alebrarse a.le"B4a4.se
alebronarse a.le.B4o"na4.se
alectomancia a.lek.to"man.sja
alectoria a.lek"to.4ja
alegador a.le.Ga"Do4
alegar a.le"Ga4
alegato a.le"Ga.to
alegatorio a.le.Ga"to.4jo
alegorizar a.le.go.4i."sar
